reciter_id,surah_id,ayah_id,duration_s,text_simple,word_count,num_alignments,audio_filename
79,16,88,19.503999710083008,قل لئن اجتمعت الانس والجن على ان ياتوا بمثل هذا القران لا ياتون بمثله ولو كان بعضهم لبعض ظهيرا,19,19,tadabur_spk0079_S16_A88_b85c70aa_000079.wav
65,33,28,19.516000747680664,وما ارسلناك الا كافة للناس بشيرا ونذيرا ولكن اكثر الناس لا يعلمون,12,12,tadabur_spk0065_S33_A28_ef5369a9_000002.wav
52,69,13,3.180999994277954,وفصيلته التي تؤويه,3,3,tadabur_spk0052_S69_A13_e9504088_000130.wav
282,35,30,15.156999588012695,يا حسرة على العباد ما ياتيهم من رسول الا كانوا به يستهزئون,12,12,tadabur_spk0282_S35_A30_f0a057c0_000000.wav
192,1,241,7.709000110626221,وللمطلقات متاع بالمعروف حقا على المتقين,6,6,tadabur_spk0192_S1_A241_2f737953_000238.wav
66,1,218,19.084999084472656,ان الذين امنوا والذين هاجروا وجاهدوا في سبيل الله اولئك يرجون رحمت الله والله غفور رحيم,16,16,tadabur_spk0066_S1_A218_589ade6f_000146.wav
139,12,12,18.0310001373291,هو الذي يريكم البرق خوفا وطمعا وينشئ السحاب الثقال,9,9,tadabur_spk0139_S12_A12_f86d4fbd_000006.wav
20,3,108,20.934999465942383,يستخفون من الناس ولا يستخفون من الله وهو معهم اذ يبيتون ما لا يرضى من القول وكان الله بما يعملون محيطا,21,21,tadabur_spk0020_S3_A108_1097bf80_000078.wav
45,15,31,39.244998931884766,جنات عدن يدخلونها تجري من تحتها الانهار لهم فيها ما يشاءون كذلك يجزي الله المتقين,15,15,tadabur_spk0045_S15_A31_86f524db_000017.wav
139,18,61,14.331999778747559,جنات عدن التي وعد الرحمن عباده بالغيب انه كان وعده ماتيا,11,11,tadabur_spk0139_S18_A61_ca3500f2_000049.wav
52,32,39,13.246999740600586,الذين يبلغون رسالات الله ويخشونه ولا يخشون احدا الا الله وكفى بالله حسيبا,13,13,tadabur_spk0052_S32_A39_8a96b19c_000033.wav
129,68,14,14.633999824523926,وحملت الارض والجبال فدكتا دكة واحدة,6,6,tadabur_spk0129_S68_A14_0e7fd9b4_000000.wav
9,8,44,16.4060001373291,لا يستاذنك الذين يؤمنون بالله واليوم الاخر ان يجاهدوا باموالهم وانفسهم والله عليم بالمتقين,14,14,tadabur_spk0009_S8_A44_df922413_000023.wav
80,19,102,10.583999633789062,يوم ينفخ في الصور ونحشر المجرمين يومئذ زرقا,8,8,tadabur_spk0080_S19_A102_71dab176_000164.wav
120,44,13,15.855999946594238,وسخر لكم ما في السماوات وما في الارض جميعا منه ان في ذلك لايات لقوم يتفكرون,16,16,tadabur_spk0120_S44_A13_7d664e00_000012.wav
4,1,141,22.0049991607666,تلك امة قد خلت لها ما كسبت ولكم ما كسبتم ولا تسالون عما كانوا يعملون,15,15,tadabur_spk0004_S1_A141_585eb002_000090.wav
39,15,120,7.744999885559082,ان ابراهيم كان امة قانتا لله حنيفا ولم يك من المشركين,11,11,tadabur_spk0039_S15_A120_6923d8fc_000190.wav
2,66,1,10.706000328063965,تبارك الذي بيده الملك وهو على كل شيء قدير,9,9,tadabur_spk0002_S66_A1_c895b03a_000000.wav
45,38,63,12.428999900817871,له مقاليد السماوات والارض والذين كفروا بايات الله اولئك هم الخاسرون,11,11,tadabur_spk0045_S38_A63_0254ba3a_000031.wav
77,71,4,5.386000156402588,وانه كان يقول سفيهنا على الله شططا,7,7,tadabur_spk0077_S71_A4_9c0b60de_000177.wav
66,2,75,35.832000732421875,ومن اهل الكتاب من ان تامنه بقنطار يؤده اليك ومنهم من ان تامنه بدينار لا يؤده اليك الا ما دمت عليه قائما ذلك بانهم قالوا ليس علينا في الاميين سبيل ويقولون على الله الكذب وهم يعلمون,36,36,tadabur_spk0066_S2_A75_12fe1e91_000049.wav
41,39,57,15.814000129699707,لخلق السماوات والارض اكبر من خلق الناس ولكن اكثر الناس لا يعلمون,12,12,tadabur_spk0041_S39_A57_c94c3ac5_000031.wav
724,20,112,14.260000228881836,قال رب احكم بالحق وربنا الرحمن المستعان على ما تصفون,10,10,tadabur_spk0724_S20_A112_4399eb0a_000000.wav
80,73,23,4.285999774932861,ثم ادبر واستكبر,3,3,tadabur_spk0080_S73_A23_f594bb5b_000231.wav
17,1,25,31.948999404907227,وبشر الذين امنوا وعملوا الصالحات ان لهم جنات تجري من تحتها الانهار كلما رزقوا منها من ثمرة رزقا قالوا هذا الذي رزقنا من قبل واتوا به متشابها ولهم فيها ازواج مطهرة وهم فيها خالدون,34,34,tadabur_spk0017_S1_A25_65449200_000013.wav
0,26,75,14.520999908447266,وما من غائبة في السماء والارض الا في كتاب مبين,10,10,tadabur_spk0000_S26_A75_6b2b4740_000045.wav
36,3,117,19.8700008392334,ان يدعون من دونه الا اناثا وان يدعون الا شيطانا مريدا,11,11,tadabur_spk0036_S3_A117_7d3880f1_000085.wav
77,78,2,2.882999897003174,والناشطات نشطا,2,2,tadabur_spk0077_S78_A2_3c5bd81e_000039.wav
88,13,39,10.623000144958496,الحمد لله الذي وهب لي على الكبر اسماعيل واسحاق ان ربي لسميع الدعاء,13,13,tadabur_spk0088_S13_A39_a424d7b8_000001.wav
73,37,13,11.383999824523926,وثمود وقوم لوط واصحاب الايكة اولئك الاحزاب,7,7,tadabur_spk0073_S37_A13_1d4e900d_000238.wav
88,20,88,9.305000305175781,فاستجبنا له ونجيناه من الغم وكذلك ننجي المؤمنين,8,8,tadabur_spk0088_S20_A88_203c271c_000077.wav
485,16,5,19.639999389648438,فاذا جاء وعد اولاهما بعثنا عليكم عبادا لنا اولي باس شديد فجاسوا خلال الديار وكان وعدا مفعولا,17,17,tadabur_spk0485_S16_A5_5cbd0056_000007.wav
290,22,96,9.0649995803833,ادفع بالتي هي احسن السيئة نحن اعلم بما يصفون,9,9,tadabur_spk0290_S22_A96_de5b7bf2_000015.wav
